,Terms and Conditions,Supplier,Date,Branch,Currency,Exchange Rate,Price List,Payment Terms,Template,Item Code (Items),Item Name (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Target Warehouse (Items),Account Head (Purchase Taxes and Charges),Add or Deduct (Purchase Taxes and Charges),Consider Tax or Charge for (Purchase Taxes and Charges),Description (Purchase Taxes and Charges),Type (Purchase Taxes and Charges),Is this Tax included in Basic Rate? (Purchase Taxes and Charges),Tax Rate (Purchase Taxes and Charges
303,PO.2025.01.00103,PT DAIKIN AIRCONDITIONING INDONESIA,20/01/2025,SURABAYA,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,5,6514060,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
304,PO.2025.01.00098,CV BALLY AIRCOND,18/01/2025,BALI,IDR,,,CBD,,GWC12N1A,GREE GWC-12N1A,15,4132928,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
305,PO.2025.01.00112,AINUR ROFIQ,22/01/2025,SURABAYA,IDR,,,CBD,,MATERIAL-AC,MATERIAL AC,1,389000,,LOT,GD. UTAMA (SBY) - CBP,,,,,,,
306,PO.2025.01.00097,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,BALI,IDR,,,CBD,,STKQ25UV,DAIKIN STKQ-25UV,4,4347070,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
307,PO.2025.01.00114,PT TRIMASTER JAYA ABADI,22/01/2025,SURABAYA,IDR,,,NET 30,,GEVER1438,"GEVER INVERTER 1/4-3/8""",10,1599099.1,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
308,PO.2025.01.00097,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,BALI,IDR,,,CBD,,STKQ35UV,DAIKIN STKQ-35UV,2,5793600,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
309,PO.2025.01.00097,PT DAIKIN AIRCONDITIONING INDONESIA,17/01/2025,BALI,IDR,,,CBD,,STV60CXV,DAIKIN STV-60CXV,5,8471610,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
310,PO.2025.01.00115,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 55,,AR10CYFAA,SAMSUNG AR10CYFAA,1,0,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
311,PO.2025.01.00115,PT SAMSUNG ELECTRONICS INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 55,,,,1,0,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
312,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSAF12CRN2,MIDEA MSAF12CRN2,15,3714858,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
313,PO.2025.01.00118,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC25NV,DAIKIN STC-25NV,5,3940090,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
314,PO.2025.01.00117,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,IDR,,,CBD,,FM12512K,GREE FM-1.25-12-K,3,2835570,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
315,PO.2025.01.00118,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC20NV,DAIKIN STC-20NV,3,3765160,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
316,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,7,3378510,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
317,PO.2025.01.00139,,30/01/2025,SURABAYA,USD,,,CBD,,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",60,67.1,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
318,PO.2025.01.00139,,30/01/2025,SURABAYA,USD,,,CBD,,A1438,"ARA 1/4""-3/8"" (0,60-0,60)",150,80.9,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
319,PO.2025.01.00139,,30/01/2025,SURABAYA,USD,,,CBD,,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",120,87.6,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
320,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSFC12CRN1-32,MIDEA MSFC12CRN1-32,15,3537930,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
321,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSAF18CRN2,MIDEA MSAF18CRN2,30,5017519,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
322,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MPHA05CRN7,MIDEA MPHA-05CRN7,20,2662650,,UNIT,GD. UTAMA (SBY) - CBP,,,,,,,
323,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF05CRDN2X,MIDEA MSIAF05CRDN2X,10,3191300,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
324,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF12CRDN2X,MIDEA MSIAF12CRDN2X,1,4548330,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
325,PO.2025.01.00116,PT MIDEA PLANET INDONESIA,22/01/2025,SURABAYA,IDR,,,CBD,,MSIAF18CRDN2X,MIDEA MSIAF18CRDN2X,2,5441700,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
326,PO.2025.01.00118,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC35NV,DAIKIN STC-35NV,10,4889710,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
327,PO.2025.01.00118,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STC50XV,DAIKIN STC-50XV,10,6514060,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
328,PO.2025.01.00160,PT TOKOPEDIA,31/01/2025,MADIUN,IDR,,,CBD,,TF,TRANSACTION FEE,1,372514,,LOT,,,,,,,,
329,PO.2025.01.00118,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STV15CXV,DAIKIN STV-15CXV,2,3315340,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
330,PO.2025.01.00118,PT DAIKIN AIRCONDITIONING INDONESIA,23/01/2025,SURABAYA,IDR,,,CBD,,STV35CXV,DAIKIN STV-35CXV,7,4506530,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
331,PO.2025.01.00121,PT SAMSUNG ELECTRONICS INDONESIA,23/01/2025,BALI,IDR,,,NET 55,,AC071TN4PKC/EA,SAMSUNG AC071TN4PKC/EA,1,21684000,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
332,PO.2025.01.00108,PT FLIFE TECHNOLOGIES INDONESIA,21/01/2025,SURABAYA,IDR,,,CBD,,FAC05FC00,FLIFE FAC-05FC00,7,2514244,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
333,PO.2025.01.00108,PT FLIFE TECHNOLOGIES INDONESIA,21/01/2025,SURABAYA,IDR,,,CBD,,FAC09FC00,FLIFE FAC-09FC00,3,2853161,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
334,PO.2025.01.00113,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,IDR,,,CBD,,GWC12N1A,GREE GWC-12N1A,10,4490970,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
335,PO.2025.01.00113,CV MIAMI ELECTRONIC,22/01/2025,SURABAYA,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,15,6044070,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
336,PO.2025.01.00122,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,IDR,,,CBD,,GWC18N1A,GREE GWC-18N1A,14,5868680,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
337,PO.2025.01.00122,CV BANDUNG GEMILANG SENTOSA,23/01/2025,SURABAYA,IDR,,,CBD,,GU140TAK,GREE GU140T/A-K,1,22140000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
338,PO.2025.01.00111,PT AKARI INDONESIA,22/01/2025,SURABAYA,IDR,,,NET 30,,A05TC88NLW,AKARI A05TC88NLW,20,2300000,,SET,GD. UTAMA (SBY) - CBP,,,,,,,
339,PO.2025.01.00161,PT TOKOPEDIA,31/01/2025,SURABAYA,IDR,,,CBD,,BO FEE,BEBAS ONGKIR FEE,1,144144,,LOT,,,,,,,,
340,PO.2025.01.00120,PT CHANGHONG MEILING ELECTRIC INDONESIA,23/01/2025,SURABAYA,IDR,,,NET 60,,CSC05RDX4,CHANGHONG CSC-05RDX4,15,2430400,,SET,GD. UTAMA (BALI) - CBP,,,,,,,
341,PO.2025.01.00139,,30/01/2025,SURABAYA,USD,,,CBD,,B1438,"ZUTTO 1/4""-3/8"" (0,76-0,81)",50,111,,MTR,GD. UTAMA (SBY) - CBP,,,,,,,
