,Nomor Dokumen,Customer,Payment Terms,Date,Branch,Currency,Exchange Rate,Grand Total,Total PPn,Item Code,Item Name,Qty,Price,Nomor SO,Nomor DN,Nomor UM,Nilai Uang Muka
848,S00797/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,702000.0,106234.0,B1458,"ZUTTO 1/4""-5/8"" (0,76-0,89)",6,117000.0,SO.2025.01.00978,,,0.0
849,S00797/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,370000.0,106234.0,B1438,"ZUTTO 1/4""-3/8"" (0,76-0,81)",5,74000.0,SO.2025.01.00978,,,0.0
850,S01802/2025,ANTON PUTRA W,28/01/2025,28/01/2025,SURABAYA,,,2859000.0,283324.0,AHA5BEY,SHARP AH-A5BEY,1,2859000.0,SO.2025.01.02257,,,0.0
851,S01804/2025,CUST-2025-13477,28/01/2025,28/01/2025,SURABAYA,,,2739000.0,271432.0,PAC05VZI,POLYTRON PAC05VZI,1,2739000.0,SO.2025.01.02250,,,0.0
852,S01803/2025,ALIMUDDIN (JL GADINGAN),28/01/2025,28/01/2025,SURABAYA,,,2859000.0,283324.0,AHA5BEY,SHARP AH-A5BEY,1,2859000.0,SO.2025.01.02258,,,0.0
853,S00798/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,294000.0,71945.0,A3858,"ARA 3/8""-5/8"" (0,60-0,65)",3,98000.0,SO.2025.01.00981,,,0.0
854,S00798/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,264000.0,71945.0,A1458,"ARA 1/4""-5/8"" (0,60-0,60)",3,88000.0,SO.2025.01.00981,,,0.0
855,S00798/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,168000.0,71945.0,A1438,"ARA 1/4""-3/8"" (0,60-0,60)",3,56000.0,SO.2025.01.00981,,,0.0
856,S00799/2025,CUST-2025-37165,13/01/2025,13/01/2025,SURABAYA,,,2969000.0,294225.0,CSC09RDX4,CHANGHONG CSC-09RDX4,1,2969000.0,SO.2025.01.00983,,,0.0
857,S01805/2025,CUST-2025-32744,28/01/2025,28/01/2025,SURABAYA,,,2800000.0,277477.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2800000.0,SO.2025.01.02217,,,0.0
858,S01806/2025,CUST-2025-00375,28/01/2025,28/01/2025,SURABAYA,,,3799000.0,376477.0,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,1,3799000.0,SO.2025.01.02262,,,0.0
859,S01806/2025,CUST-2025-00375,28/01/2025,28/01/2025,SURABAYA,,,0.0,376477.0,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",3,0.0,SO.2025.01.02262,,,0.0
860,S01807/2025,ARLAN,28/01/2025,28/01/2025,SURABAYA,,,3449000.0,341793.0,MSIAF05CRDN2X,MIDEA MSIAF05CRDN2X,1,3449000.0,SO.2025.01.02256,,,0.0
861,S00902/2025,CUST-2025-18342,14/01/2025,14/01/2025,SURABAYA,,,2299000.0,227828.0,AHA5BEY,SHARP AH-A5BEY,1,2299000.0,SO.2025.01.01115,,,0.0
862,S01807/2025,ARLAN,28/01/2025,28/01/2025,SURABAYA,,,0.0,341793.0,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",3,0.0,SO.2025.01.02256,,,0.0
863,S00800/2025,CUST-2025-19129,13/01/2025,13/01/2025,SURABAYA,,,2859000.0,320278.0,AHA5BEY,SHARP AH-A5BEY,1,2859000.0,SO.2025.01.00986,,,0.0
864,S00800/2025,CUST-2025-19129,13/01/2025,13/01/2025,SURABAYA,,,49000.0,320278.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,49000.0,SO.2025.01.00986,,,0.0
865,S00800/2025,CUST-2025-19129,13/01/2025,13/01/2025,SURABAYA,,,316000.0,320278.0,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",4,79000.0,SO.2025.01.00986,,,0.0
866,S00800/2025,CUST-2025-19129,13/01/2025,13/01/2025,SURABAYA,,,7900.0,320278.0,ARA-DTL,ARA DUCT TAPE LEM,1,7900.0,SO.2025.01.00986,,,0.0
867,S00801/2025,CUST-2025-35849,13/01/2025,13/01/2025,SURABAYA,,,2589000.0,256567.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2589000.0,SO.2025.01.00987,,,0.0
868,T00330/2025,CUST-2025-26025,28/01/2025,28/01/2025,SURABAYA,,,2700000.0,287387.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2700000.0,SO.2025.01.02271,,,0.0
869,T00330/2025,CUST-2025-26025,28/01/2025,28/01/2025,SURABAYA,,,150000.0,287387.0,P1438,"ZUTTO 1/4""-3/8"" (0,61-0,61)",2,75000.0,SO.2025.01.02271,,,0.0
870,T00330/2025,CUST-2025-26025,28/01/2025,28/01/2025,SURABAYA,,,50000.0,287387.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,50000.0,SO.2025.01.02271,,,0.0
871,S00805/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,1300000.0,172432.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,40,32500.0,SO.2025.01.00990,,,0.0
872,S00802/2025,CUST-2025-28445,13/01/2025,13/01/2025,SURABAYA,,,3849000.0,381432.0,GWC07MOO5S,GREE GWC-07MOO5S,1,3849000.0,SO.2025.01.00984,,,0.0
873,S00803/2025,CUST-2025-31247,13/01/2025,13/01/2025,SURABAYA,,,2589000.0,256567.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2589000.0,SO.2025.01.00985,,,0.0
874,S00903/2025,CUST-2025-29449,14/01/2025,14/01/2025,SURABAYA,,,2869000.0,284315.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2869000.0,SO.2025.01.01110,,,0.0
875,S00804/2025,CUST-2025-22896,13/01/2025,13/01/2025,SURABAYA,,,5198000.0,515117.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,2,2599000.0,SO.2025.01.00988,,,0.0
876,S00805/2025,AINUR ROFIQ,12/02/2025,13/01/2025,SURABAYA,,,440000.0,172432.0,ZUTTO2.5PK,"ZUTTO BRAKET 2,5 PK",10,44000.0,SO.2025.01.00990,,,0.0
877,S00807/2025,CUST-2025-26506,13/01/2025,13/01/2025,SURABAYA,,,2449000.0,242693.0,CSC05NVB4,CHANGHONG CSC-05NVB4,1,2449000.0,SO.2025.01.00993,,,0.0
878,S00806/2025,AINIR ROHMATILAH,13/01/2025,13/01/2025,SURABAYA,,,2599000.0,257558.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2599000.0,SO.2025.01.00989,,,0.0
879,S01809/2025,CUST-2025-09189,27/02/2025,28/01/2025,SURABAYA,,,888000.0,88000.0,B1438,"ZUTTO 1/4""-3/8"" (0,76-0,81)",8,111000.0,SO.2025.01.02278,,,0.0
880,S01808/2025,CUST-2025-08670,28/01/2025,28/01/2025,SURABAYA,,,2559000.0,269589.0,PAC05VH,POLYTRON PAC05VH,1,2559000.0,SO.2025.01.02276,,,0.0
881,S01808/2025,CUST-2025-08670,28/01/2025,28/01/2025,SURABAYA,,,49000.0,269589.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,1,49000.0,SO.2025.01.02276,,,0.0
882,S01808/2025,CUST-2025-08670,28/01/2025,28/01/2025,SURABAYA,,,79000.0,269589.0,S1438,"ZUTTO 1/4""-3/8"" (0,40-0,45)",1,79000.0,SO.2025.01.02276,,,0.0
883,S01808/2025,CUST-2025-08670,28/01/2025,28/01/2025,SURABAYA,,,17500.0,269589.0,ETERNA3X2.5MM,"ETERNA 3X2,5MM",1,17500.0,SO.2025.01.02276,,,0.0
884,S01808/2025,CUST-2025-08670,28/01/2025,28/01/2025,SURABAYA,,,10000.0,269589.0,HDSPIRALDRAIN,HD SPIRAL DRAIN,2,5000.0,SO.2025.01.02276,,,0.0
885,S01808/2025,CUST-2025-08670,28/01/2025,28/01/2025,SURABAYA,,,5900.0,269589.0,ZUTTO-DTNL,ZUTTO DUCT TAPE NON LEM,1,5900.0,SO.2025.01.02276,,,0.0
886,S00808/2025,CUST-2025-06849,13/01/2025,13/01/2025,SURABAYA,,,2859000.0,283324.0,AHA5BEY,SHARP AH-A5BEY,1,2859000.0,SO.2025.01.00992,,,0.0
887,S00810/2025,CUST-2025-19764,13/01/2025,13/01/2025,SURABAYA,,,3359000.0,332873.0,STP15AV9,DAIKIN STP-15AV9,1,3359000.0,SO.2025.01.00995,,,0.0
888,S00904/2025,CUST-2025-32449,14/01/2025,14/01/2025,MADIUN,,,2380000.0,235855.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2380000.0,SO.2025.01.01106,,,0.0
889,S00809/2025,CUST-2025-19265,13/01/2025,13/01/2025,SURABAYA,,,5959000.0,590531.0,AR13BYFAN,SAMSUNG AR13BYFAN,1,5959000.0,SO.2025.01.00994,,,0.0
890,S01811/2025,CUST-2025-22364,28/01/2025,28/01/2025,SURABAYA,,,2599000.0,257559.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2599000.0,SO.2025.01.02277,,,0.0
891,S01812/2025,CUST-2025-30288,28/01/2025,28/01/2025,BALI,,,8360000.0,1262027.0,STC20NV,DAIKIN STC-20NV,2,4180000.0,SO.2025.01.02280,,,0.0
892,S01812/2025,CUST-2025-30288,28/01/2025,28/01/2025,BALI,,,0.0,1262027.0,ZUTTO1PK,ZUTTO BRAKET 1 PK,3,0.0,SO.2025.01.02280,,,0.0
893,S00905/2025,CUST-2025-00527,14/01/2025,14/01/2025,SURABAYA,,,2869000.0,284315.0,MSFC09CRN2X,MIDEA MSFC09CRN2X,1,2869000.0,SO.2025.01.01113,,,0.0
894,T00123/2025,CUST-2025-24944,12/02/2025,13/01/2025,BALI,,,2320000.0,229909.0,P1412,"ZUTTO 1/4""-1/2"" (0,61-0,65)",1,2320000.0,SO.2025.01.00996,,,0.0
895,S01812/2025,CUST-2025-30288,28/01/2025,28/01/2025,BALI,,,4375000.0,1262027.0,STC25NV,DAIKIN STC-25NV,1,4375000.0,SO.2025.01.02280,,,0.0
896,S00811/2025,CUST-2025-15242,13/01/2025,13/01/2025,BALI,,,2380000.0,503423.0,MSFC05CRN2X,MIDEA MSFC05CRN2X,1,2380000.0,SO.2025.01.00997,,,0.0
897,S00811/2025,CUST-2025-15242,13/01/2025,13/01/2025,BALI,,,2700000.0,503423.0,AQAKCR9FQDL,AQUA AQA-KCR9FQDL,1,2700000.0,SO.2025.01.00997,,,0.0
898,S01814/2025,CUST-2025-01353,28/01/2025,28/01/2025,SURABAYA,,,0.0,376477.0,PB40509,"SHARP 1/4""-3/8"" (0,50-0,60)",3,0.0,SO.2025.01.02282,,,0.0
899,T00331/2025,CUST-2025-03820,28/01/2025,28/01/2025,BALI,,,21909000.0,2171162.0,AC071TN4PKC/EA,SAMSUNG AC071TN4PKC/EA,1,21909000.0,SO.2025.01.02279,,,0.0
900,S00812/2025,,13/01/2025,13/01/2025,SURABAYA,,,3559000.0,352693.0,GWC07MOO5S,GREE GWC-07MOO5S,1,3559000.0,SO.2025.01.01002,,,0.0
901,S01813/2025,CUST-2025-21456,28/01/2025,28/01/2025,SURABAYA,,,3545000.0,351306.0,STP25AV9,DAIKIN STP-25AV9,1,3545000.0,SO.2025.01.02269,,,0.0
902,S00906/2025,CUST-2025-26891,14/01/2025,14/01/2025,SURABAYA,,,2599000.0,257558.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,1,2599000.0,SO.2025.01.01112,,,0.0
903,S00813/2025,CUST-2025-23942,13/01/2025,13/01/2025,SURABAYA,,,2700000.0,267567.0,AQAKCR9FQDL,AQUA AQA-KCR9FQDL,1,2700000.0,SO.2025.01.01000,,,0.0
904,S01810/2025,CUST-2025-29207,28/01/2025,28/01/2025,SURABAYA,,,2865000.0,283919.0,AQAKCR9FQDL,AQUA AQA-KCR9FQDL,1,2865000.0,SO.2025.01.02275,,,0.0
905,S01815/2025,CUST-2025-00049,28/01/2025,28/01/2025,SURABAYA,,,6218000.0,616198.0,,,2,3109000.0,SO.2025.01.02287,,,0.0
906,S01814/2025,CUST-2025-01353,28/01/2025,28/01/2025,SURABAYA,,,3799000.0,376477.0,MSIAF09CRDN2X,MIDEA MSIAF09CRDN2X,1,3799000.0,SO.2025.01.02282,,,0.0
907,S00814/2025,CUST-2025-12567,13/01/2025,13/01/2025,BALI,,,4760000.0,878018.0,AQAKCR5FQDL,AQUA AQA-KCR5FQDL,2,2380000.0,SO.2025.01.01001,,,0.0
